num,name,addr,publisher,recommend,star,price
32,给孩子的财商启蒙书（樊登读书会推荐）,http://img3m5.ddimg.cn/41/3/28486895-1_l_2.jpg,2020-07-01 花山文艺出版社,100%推荐,37538次,¥35.80
33,名人传,http://img3m0.ddimg.cn/85/3/27898780-1_l_1.jpg,"汪曾祺 著,酷威文化 出品",100%推荐,27520次,¥26.00
34,向上管理：与你的领导相互成就,http://img3m3.ddimg.cn/93/36/27869583-1_l_2.jpg,2020-09-01 江苏凤凰文艺出版社,100%推荐,38359次,¥21.40
35,焦虑日志,http://img3m3.ddimg.cn/20/26/27939503-1_l_3.jpg,张萌 著，磨铁图书 出品,100%推荐,66673次,¥14.99
36,天真易得,http://img3m0.ddimg.cn/21/26/25342140-1_l_5.jpg,2020-07-01 北京联合出版有限公司,100%推荐,4014次,¥11.70
37,人鱼公司（星爷《美人鱼》美国版，比《延禧攻略》更精彩的“复仇之路”，小美人鱼的“色诱”攻略，比《蓝色大海的传说》更浪漫的现代爱情轻喜剧新向标）纤阅出品,http://img3m6.ddimg.cn/6/24/25345986-1_l_2.jpg,徐静，酷威文化 出品,100%推荐,10573次,¥2.99
38,伦敦大火,http://img3m2.ddimg.cn/23/28/25342142-1_l_2.jpg,2018-03-01 百花洲文艺出版社,100%推荐,12078次,¥24.00
39,间谍之死(拒绝好莱坞翻拍的年度作品，刺激程度超越《碟中谍》，更好看的悬疑推理小说，，更精彩的高科技犯罪！屏住呼吸，追击即将开始) 纤阅出品,http://img3m0.ddimg.cn/10/28/25345990-1_l_3.jpg,"[英]布里奇特・柯林斯 著,邹瑞莲 译,酷威文化 出品",100%推荐,79644次,¥3.99
40,学习高手（当当专享李柘远100%签名版，90后哈佛耶鲁高分毕业生超实用学习法）,http://img3m2.ddimg.cn/10/32/29002852-1_l_4.jpg,2020-07-01 四川文艺出版社,100%推荐,1128次,¥11.70
41,有本事来吃我呀（赠送当当专享贴纸）,http://img3m5.ddimg.cn/61/10/28984885-1_l_8.jpg,李剑龙、苏岚岚 著,100%推荐,1043次,¥29.90
42,用数据提升人力资源管理效能 实战案例版,http://img3m4.ddimg.cn/28/34/29115334-1_l_3.jpg,2020-09-01 北京联合出版有限公司,100%推荐,1044次,¥44.80
43,人力资源管理实操从入门到精通 第2版,http://img3m3.ddimg.cn/87/27/29000553-1_l_3.jpg,任康磊,8.9%推荐,1040次,¥26.99
44,暗黑医院：消失的病患（日文原版名《�⒚娌���》，横扫各大推理榜单，突破销量85w册！）,http://img3m1.ddimg.cn/91/21/28990261-1_l_3.jpg,2020-07-01 人民邮电出版社,100%推荐,2037次,¥52.30
45,《狗狗“青蛙”的夏天》（暖心童话故事，孩子们的最爱。）,http://img3m7.ddimg.cn/98/25/25069967-1_l_7.jpg,任康磊,100%推荐,12360次,¥22.50
46,不赶时髦星球：微博时尚博主 Avo 专为亚洲女性所写的“超干货”衣橱手册,http://img3m9.ddimg.cn/35/9/29120489-1_l_3.jpg,2020-08-01 人民邮电出版社,99.8%推荐,1007次,¥9.80
47,果麦经典：平面国（数学界的超级文化符号，《三体》二向箔的灵感来源，理解维度概念的绝佳途径。）,http://img3m7.ddimg.cn/98/21/29120057-1_l_6.jpg,知念实希人,99.9%推荐,1002次,¥34.00
48,《天生废才》虽然是神经病但是没关系 喜马拉雅巅峰榜9.8分霸榜作品，热血废柴爆笑逆袭 （随书附赠人物卡1张、海报1张、书签1张、主角团卡贴3张）,http://img3m5.ddimg.cn/30/4/28999605-1_l_5.jpg,2020-08-01 百花文艺出版社,100%推荐,988次,¥19.90
49,再美也美不过想象（“捡故事的人”耀一首部治愈短篇故事集，三十万册纪念版。不完美但美好，就已是甜蜜生活。）,http://img3m6.ddimg.cn/79/4/29113306-1_l_3.jpg,"玛格丽特・埃莉诺・利・ 惠布利 著  杨欣, 王雅琴 译",100%推荐,940次,¥24.00
50,蛤蟆先生去看心理医生（畅销23年，英国国民级心理咨询入门书，知名心理学家李松蔚强烈推荐 ）,http://img3m9.ddimg.cn/71/33/28992419-1_l_3.jpg,2017-04-01 天津人民出版社,99.9%推荐,1044次,¥45.30
51,杨红樱 淘气包马小跳28:妈妈我爱你（孩子需要不焦虑的爱，妈妈们，放轻松）,http://img3m3.ddimg.cn/98/0/29117483-1_l_2.jpg,Avo（�F桢） 著,100%推荐,952次,¥24.90
52,鸟王的春天（暖心童话故事，孩子们的最爱。）,http://img3m7.ddimg.cn/21/4/25251357-1_l_6.jpg,2020-09-08 河北科学技术出版社,100%推荐,16177次,¥36.00
53,常青藤爸爸对话特级教师：每个孩子都能学好阅读（随书附赠8节超值、纯干货特级教师视频课！朱永新、蒋军晶重磅推荐）,http://img3m8.ddimg.cn/49/6/28998238-1_l_9.jpg,埃德温・A・艾勃特，译者：鲁冬旭，果麦文化 出品,100%推荐,825次,¥19.00
54,工业互联网：技术、实践与行业解决方案,http://img3m8.ddimg.cn/1/20/29119168-1_l_3.jpg,2020-08-01 上海文化出版社,100%推荐,792次,¥14.00
55,常青藤爸爸对话特级教师：每个孩子都能写好作文（随书附赠8节超值、纯干货特级教师视频课！朱永新、蒋军晶重磅推荐）,http://img3m7.ddimg.cn/48/5/28998237-1_l_9.jpg,檀清,100%推荐,815次,¥9.80
56,凯叔 三字经（含凯叔诵读全文音频游戏，给孩子的启蒙教育经典，每天三分钟，国学童子功）,http://img3m9.ddimg.cn/1/23/29120059-1_l_9.jpg,2020-08-01 天津人民出版社,100%推荐,812次,¥24.50
57,纳兰词：花月不曾闲，莫放相思醒（百万级畅销书作家 张其姝新作 每个人都能在纳兰词中找到自己！）,http://img3m5.ddimg.cn/26/20/28998215-1_l_2.jpg,耀一，果麦文化 出品,100%推荐,1008次,¥49.00
58,论自由（我们在生活中常听到“自由”二字，但只有这本书能明白告诉你“自由”是什么。）【果麦经典】,http://img3m5.ddimg.cn/22/27/28558255-1_l_3.jpg,2020-08-01 四川文艺出版社,100%推荐,685次,¥24.50
59,里娜的奇幻丛林,http://img3m7.ddimg.cn/77/24/25248047-1_l_6.jpg,罗伯特・戴博德，果麦文化 出品,100%推荐,11204次,¥54.50
60,自游加州全攻略,http://img3m9.ddimg.cn/21/27/28470639-1_l_5.jpg,2020-07-01 天津人民出版社,100%推荐,48051次,¥19.90
