title,link,播放量,弹幕数,上传时间,up主
当【震惊哥】看到蔡徐坤打篮球,//www.bilibili.com/video/BV1zb411E7A1?from=search&seid=16270430628078150973,47.4万,753,2019-03-20,底特律-萧索
【蔡徐坤】告白篮球,//www.bilibili.com/video/BV1dt41177mr?from=search&seid=16270430628078150973,76.5万,5294,2019-07-24,橡皮君喽
蔡徐坤邀请我打篮球？！,//www.bilibili.com/video/BV1h4411x7p3?from=search&seid=16270430628078150973,21.9万,271,2019-05-02,UpdateWeiss
爆笑！美国人看蔡徐坤打篮球,//www.bilibili.com/video/BV1t4411i7Bg?from=search&seid=16270430628078150973,54.3万,3169,2019-05-05,MGGG酱
挑战一口气看10小时蔡徐坤打篮球！我上瘾了,//www.bilibili.com/video/BV1S4411F7ce?from=search&seid=16270430628078150973,86.3万,9271,2019-07-09,蓝星在少年
吴亦凡、蔡徐坤、鹿晗的篮球实力大PK,//www.bilibili.com/video/BV1cb411y7sT?from=search&seid=2392313048591750579,140.9万,1.8万,2019-01-30,小饼子同学
坤坤对不起！蔡徐坤首次回应&quot;篮球梗&quot;,//www.bilibili.com/video/BV1VE411575d?from=search&seid=2392313048591750579,352.3万,3.1万,2020-03-13,章鱼猫Octocat
【Ink!蔡徐坤】你丢了，并且打起了篮球,//www.bilibili.com/video/BV1oE411p7DN?from=search&seid=2392313048591750579,9.1万,399,2020-03-07,屏幕另一边的迷云
外国人实力模仿蔡徐坤打篮球,//www.bilibili.com/video/BV1Db411J7Lr?from=search&seid=2392313048591750579,1.2万,13,2019-03-16,一只菜稽
【罗志祥VS蔡徐坤】谁是真正的篮球带师？,//www.bilibili.com/video/BV1gK4y187xp?from=search&seid=2392313048591750579,1.3万,5,2020-05-02,老笨鸽
特效向！蔡徐坤打篮球的真正水平！毫无悬念的对决,//www.bilibili.com/video/BV1sb41157Ei?from=search&seid=2392313048591750579,83.9万,1300,2019-04-17,cxfws
孙笑川亲自评价蔡徐坤球技什么水平,//www.bilibili.com/video/BV1Bb411y7VD?from=search&seid=2392313048591750579,180.4万,7566,2019-01-31,银狐飞血
蔡徐坤和JonyJ打篮球 远看就是帅哥一枚,//www.bilibili.com/video/BV1154y1k7Ex?from=search&seid=2392313048591750579,1494,1,2020-10-09,一枚花心NPC
某节目上有位男生模仿蔡徐坤打篮球，丁市长都忍不住了,//www.bilibili.com/video/BV1Nb411M7g2?from=search&seid=2392313048591750579,286.1万,4094,2019-04-10,依旧梦中人
【DSSQ】蔡徐坤打篮球镜像,//www.bilibili.com/video/BV1Pb411u7sj?from=search&seid=2392313048591750579,23.1万,1262,2019-04-07,東-镇江阴
[蔡徐坤]卢本伟直播看蔡徐坤打篮球视频，吓哭o(╥﹏╥)o,//www.bilibili.com/video/BV1T4411V7hT?from=search&seid=2392313048591750579,49.9万,1334,2019-06-19,安然吗丶
cp24竟有人模仿蔡徐坤打篮球!,//www.bilibili.com/video/BV1p4411T7xz?from=search&seid=2392313048591750579,76.7万,800,2019-06-08,白上吹雪卡哇伊
给自家二哈看蔡徐坤打篮球,//www.bilibili.com/video/BV1mt411L7Wn?from=search&seid=2392313048591750579,62.6万,2480,2019-07-24,树洞睡熊
蔡徐坤打篮球原版视频,//www.bilibili.com/video/BV1ji4y1E74D?from=search&seid=2392313048591750579,2508,16,2020-09-19,谦虚低调总司令
如果把蔡徐坤打篮球倒放会怎样,//www.bilibili.com/video/BV1Eb411u7ti?from=search&seid=2392313048591750579,25.4万,883,2019-04-07,二莎铜人
《鸡你太美》蔡徐坤打篮球完整版无水印超清版,//www.bilibili.com/video/BV1DJ411n7jv?from=search&seid=2392313048591750579,23.3万,849,2020-01-13,神翼凌空
蔡徐坤的粉丝有多可怕，现在明白了,//www.bilibili.com/video/BV1Nb411Y7ki?from=search&seid=2392313048591750579,78.1万,1915,2019-02-20,三亚市第一小李子
