name,picture,num,star,director,introduction
蝙蝠侠：黑暗骑士 / The Dark Knight / 蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,27,9.2,克里斯托弗·诺兰 Christopher Nolan,无尽的黑暗。
活着 / 人生  /  Lifetimes,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg,28,9.3,张艺谋 Yimou Zhang,张艺谋最好的电影。
末代皇帝 / The Last Emperor / 末代皇帝溥仪(港),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,29,9.3,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
寻梦环游记 / Coco / 玩转极乐园(港)  /  可可夜总会(台),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614500706.jpg,30,9.1,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,死亡不是真的逝去，遗忘才是永恒的消亡。
乱世佳人 / Gone with the Wind / 飘,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,31,9.3,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,Tomorrow is another day.
何以为家 / كفرناحوم / 迦百农  /  星仔打官司(港),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg,32,9.1,娜丁·拉巴基 Nadine Labaki,凝视卑弱生命，用电影改变命运。
指环王3：王者无敌 / The Lord of the Rings: The Return of the King / 魔戒三部曲：王者再临(台 / 港) ,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg,33,9.2,彼得·杰克逊 Peter Jackson,史诗的终章。
摔跤吧！爸爸 / Dangal / 我和我的冠军女儿(台)  /  打死不离3父女(港),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg,34,9.0,涅提·蒂瓦里 Nitesh Tiwari,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
飞屋环游记 / Up / 冲天救兵(港)  /  天外奇迹(台),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p485887754.jpg,35,9.0,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,最后那些最无聊的事情，才是最值得怀念的。 
少年派的奇幻漂流 / Life of Pi / 少年Pi的奇幻漂流  /  漂流少年Pi,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,36,9.1,李安 Ang Lee,瑰丽壮观、无人能及的冒险之旅。
十二怒汉 / 12 Angry Men / 12怒汉  /  十二怒汉,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,37,9.4,Sidney Lumet,1957年的理想主义。 
哈利·波特与魔法石 / Harry Potter and the Sorcerer's Stone / 哈利波特1：神秘的魔法石(港 / 台) ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614949805.jpg,38,9.1,Chris Columbus,童话世界的开端。
